Tanggal,0,3,6,9,12,15,18,21
01/02/2023,16.39,35.6,29.61,18.66,6.2,30.68,32.22,5.97
02/02/2023,38.47,38.14,3.4,35.28,14.43,24.54,15.24,11.28
03/02/2023,13.45,7.71,1.72,15.51,17.88,11.69,32.73,9.76
04/02/2023,33.06,2.46,9.43,13.04,24.99,26.36,37.32,6.53
05/02/2023,37.69,31.76,14.44,9.6,31.16,10.47,27.74,10.2
06/02/2023,5.79,2.35,6.47,14.82,26.08,8.29,20.82,14.64
07/02/2023,3.03,8.44,23.59,7.28,12.84,28.92,31.79,3.5
08/02/2023,3.5,32.9,21.66,22.58,9.84,33.76,11.54,33.11
09/02/2023,23.37,29.52,27.31,3.78,22.96,39.53,3.72,9.63
10/02/2023,14.92,34.27,8.12,9.99,33.84,27.87,28.55,10.38
11/02/2023,20.05,3.46,37.2,5.83,25.69,12.28,17.77,35.54
12/02/2023,20.28,27.13,11.8,6.86,34.46,12.01,30.23,12.05
13/02/2023,2.24,19.06,10.3,14.73,25.9,2.03,17.6,9.87
14/02/2023,35.99,27.79,17.25,6.23,18.83,23.24,37.93,36.47
15/02/2023,19.31,15.27,9.04,32.35,31.95,10.99,24.1,3.53
16/02/2023,35.35,35.43,34.21,20.88,12.18,35.51,36.81,12.16
17/02/2023,8.9,38.19,19.92,32.02,38.2,7.6,16.16,5.15
18/02/2023,34.75,9.74,34.53,31.57,10.62,26.9,35.0,20.84
19/02/2023,32.66,24.18,3.29,6.74,21.05,10.78,24.37,37.12
20/02/2023,35.66,13.79,7.97,25.25,35.94,6.65,4.09,21.54
21/02/2023,2.13,9.02,32.77,34.28,25.87,39.15,18.82,24.43
22/02/2023,38.28,26.04,2.61,14.43,18.82,36.63,24.11,4.85
23/02/2023,26.21,38.59,5.86,12.99,26.45,24.5,36.59,31.27
24/02/2023,36.46,12.8,38.72,12.34,9.1,12.36,31.18,13.96
25/02/2023,10.57,31.1,20.22,23.03,18.8,16.34,13.66,29.82
26/02/2023,12.46,37.75,4.96,14.11,15.97,20.07,15.5,6.73
27/02/2023,9.29,36.34,28.35,33.62,13.21,7.92,1.46,29.77
28/02/2023,34.47,39.63,13.69,16.67,17.21,25.55,10.7,4.09
,,,,,,,,
,,,,,,,,
,,,,,,,,
